Mountain,Metres,Feet,Range,Location
Mount Niblock,2976,9764,no range specified,Bow Range  Canadian Rockies  Canada
Pico 31 de Março,2973,9754,no range specified,Serra do Imeri  Amazonas  Brazil
Keele Peak,2972,9751,no range specified,Mackenzie Mountains  Yukon  Canada
Mount Odin,2970,9744,no range specified,Monashee Mountains  B.C.  Canada
Schilthorn,2970,9744,no range specified,Bernese Alps  Switzerland
Mount Tallac,2968,9738,no range specified,Sierra Nevada  California  US
Mount Inglismaldie,2964,9724,no range specified,Fairholme Range  Canadian Rockies  Canada
Mount Ramelau,2963,9721,no range specified,Highest in East Timor
Zugspitze,2962,9718,no range specified,Germany
Slide Mountain (Nevada),2957,9701,no range specified,Carson Range 
Little Alberta,2956,9698,no range specified,Sir Winston Churchill Range  Canadian Rockies  Canada
Mount Arfak,2955,9695,no range specified,Arfak Mountains 
Iron Mountain,2955,9695,no range specified,Soldier Mountains  Idaho  US
Apo,2954,9692,no range specified,Philippines
Fossil Mountain,2946,9665,no range specified,Banff NP  Alberta  Canada
Coma Pedrosa,2942,9652,no range specified,Pyrenees  Andorra
Going to the Sun Mountain,2939,9642,no range specified,Lewis Range  Montana  US
Fishers Peak,2936,9633,no range specified,Raton Mesas  Colorado-New Mexico  US
Pilot Mountain,2935,9629,no range specified,Massive Range  Canadian Rockies  Canada
Uri Rotstock,2928,9606,no range specified,Switzerland
Musala,2925,9596,no range specified,Rila Mountain  Bulgaria
Mount Pulag,2926,9600,no range specified,Philippines
Mount Olympus,2917,9570,no range specified,Thessaly
Vihren,2914,9560,no range specified,Pirin Mountain  Bulgaria
Mount Gould,2912,9554,no range specified,Montana  US
Corno Grande,2912,9554,no range specified,Abruzzo
Mount Blakiston,2910,9547,no range specified,Flathead Range  Canadian Rockies  Canada
Puigmal,2909,9544,no range specified,Spanish
Kutelo,2908,9541,no range specified,Pirin Mountain  Bulgaria
Mount Sas dla Crusc,2907,9537,no range specified,Dolomites  Italy
Chutine Peak,2903,9524,no range specified,Coast Range  British Columbia  Canada
Malka Musala,2902,9521,no range specified,Rila Mountain  Bulgaria
Rising Wolf Mountain,2900,9514,no range specified,Lewis Range  Montana  US
Bonanza Peak,2899,9511,no range specified,Cascade Range  Washington  US
Mount McLoughlin,2894,9495,no range specified,Mount McLoughlin  Oregon  US
Pic de Sanfonts,2894,9495,no range specified,Pyrenees  Andorra
Pico da Bandeira,2892,9488,no range specified,Serra do Caparaó  Minas Gerais
Collarada,2886,9469,no range specified,Pyrenees  Spain
Banski Suhodol,2884,9462,no range specified,Pirin Mountain  Bulgaria
Boardman Peak,2882,9455,no range specified,Soldier Mountains  Idaho  US
Mount Wrightson,2882,9455,no range specified,Santa Rita Mountains  Arizona  US
Lembert Dome,2880,9449,no range specified,California  US
Sacajawea Peak,2876,9436,no range specified,Wallowa Mountains  Oregon  US
Mount Stuart,2869,9413,no range specified,Cascades  Washington  US
Mount Fisht,2867,9406,no range specified,Adygea  Russia
Mount Silverthrone,2865,9400,no range specified,British Columbia  Canada
Mount Baden-Powell,2864.75,9399,no range specified,San Gabriel Mountain  California  US
Triglav,2864,9396,no range specified,Slovenia
Mount Saint Nicholas,2858,9377,no range specified,Montana  US
Irechek,2852,9357,no range specified,Rila Mountain  Bulgaria
Polezhan,2851,9354,no range specified,Pirin Mountain  Bulgaria
Mount Tabayoc,2842,9324,no range specified,Cordillera Range  Benguet  Philippines
Mount Wilbur,2841,9321,no range specified,Montana  US
Pico do Fogo,2829,9281,no range specified,Cape Verde
Kamenitsa,2822,9259,no range specified,Pirin Mountain  Bulgaria
Bayuvi dupki,2820,9252,no range specified,Pirin Mountain  Bulgaria
Mount Fernow,2819,9249,no range specified,Washington  US
Mount Hermon,2814,9232,no range specified,Syria and Lebanon; a subpeak on its southern slopes is within the Israeli-occupied Golan Heights region
Mount Deakin,2810,9219,no range specified,Antarctica
Mount Cory,2802,9193,no range specified,Alberta  Canada
Mount Thielsen,2799,9183,no range specified,Cascades  Oregon  US
Pedra da Mina,2798,9180,no range specified,Serra da Mantiqueira  Minas Gerais
Mount Ruapehu,2797,9177,no range specified,Tongariro National Park  North Island  New Zealand
Copper Mountain,2795,9170,no range specified,Alberta  Canada
Maiella,2793,9163,no range specified,Abruzzo
Pico das Agulhas Negras,2792,9160,no range specified,Serra do Itatiaia  Minas Gerais
Deno,2790,9154,no range specified,Rila Mountain  Bulgaria
Hayes Volcano,2788,9147,no range specified,Alaska  US
Mount Edziza,2787,9144,no range specified,British Columbia  Canada
Canigou,2784,9134,no range specified,Pyrenees  France
Mount Weaver,2780,9121,no range specified,Antarctica
Buckner Mountain,2778,9114,no range specified,Washington  US
Mount Longonot,2776,9108,no range specified,Great Rift Valley  Kenya
Seven Fingered Jack,2774,9101,no range specified,Washington  US
Mount Nirvana,2773,9098,no range specified,Northwest Territories  Canada
Pico do Cristal,2770,9088,no range specified,Serra do Caparaó  Minas Gerais  Brazil
Chief Mountain,2768,9081,no range specified,Montana  US
Ovcharets,2768,9081,no range specified,Rila Mountain  Bulgaria
Lincoln Peak,2768,9081,no range specified,Washington  US
Castle Mountain,2766,9075,no range specified,Canadian Rockies  Canada
Pyramid Mountain,2766,9075,no range specified,Canadian Rockies  Canada
Pico Naiguata (Avila),2765,9072,no range specified,Caracas  Venezuela
Mount Bachelor,2764,9068,no range specified,Formerly Bachelor Butte  Cascade Mountains  Oregon  US
Mount Korab,2764,9068,no range specified,North Macedonia & Albania
Yalovarnika,2763,9065,no range specified,Pirin Mountain  Bulgaria
Gazey,2761,9058,no range specified,Pirin Mountain  Bulgaria
Mount Sir James MacBrien,2759,9052,no range specified,Canada
Kaymakchal,2753,9032,no range specified,Pirin Mountain  Bulgaria
Mount Olympus,2751,9026,no range specified,Utah  US
Todorka,2746,9009,no range specified,Pirin Mountain  Bulgaria
Mawson Peak,2745,9006,no range specified,Highest in
Fairview Mountain,2744,9003,no range specified,Bow Range  Canadian Rockies  Canada
Mount Baekdu,2744,9003,no range specified,North Korea
Škrlatica,2740,8990,no range specified,Julian Alps  Slovenia
Monte Roraima,2739,8986,no range specified,Serra de Pacaraima  Roraima  Brazil
Heavens Peak,2739,8986,no range specified,Montana  US
Mount Spickard,2737,8980,no range specified,North Cascades  US
Banderishki Chukar,2732,8963,no range specified,Pirin Mountain  Bulgaria
Mount Melbourne,2732,8963,no range specified,Antarctica
Cerro El Pital,2730,8957,no range specified,El Salvador
Mount Redoubt,2730,8957,no range specified,Washington  US
Dzhengal,2730,8957,no range specified,Pirin Mountain  Bulgaria
Malyovitsa,2729,8953,no range specified,Rila Mountain  Bulgaria
Pizzo di Claro,2727,8947,no range specified,Ticino  Switzerland
Mount Morning,2723,8934,no range specified,Antarctica
Phu Xai Lai Leng,2720,8924,no range specified,Laos
Serles,2718,8917,no range specified,Stubai Alps  Austria
Mount Singakalsa (Timbak),2717,8914,no range specified,Cordillera Range  Benguet  Philippines
Watzmann,2713,8901,no range specified,Bavarian Alps  Germany
Boston Peak,2711,8894,no range specified,Washington  US
Schiahorn,2709,8888,no range specified,Switzerland
Grotto Mountain,2706,8878,no range specified,Canadian Rockies  Canada
Mount Haku,2702,8865,no range specified,Ryōhaku Mountains  Japan
Eldorado Peak,2701,8862,no range specified,Washington  US
Anaimudi,2695,8842,no range specified,Kerala  India
Maja Jezerce,2694,8839,no range specified,#1 in
Half Dome,2693,8835,no range specified,Sierra Nevada  California  US
Mount Louis,2682,8799,no range specified,Alberta  Canada
Mount Discovery,2681,8796,no range specified,Antarctica
Morro do Couto,2680,8793,no range specified,Serra das Prateleiras  Rio de Janeiro  Brazil
Pic de la Selle,2680,8793,no range specified,Haiti
Mount Garibaldi,2678,8786,no range specified,British Columbia  Canada
Bashliyski Chukar,2670,8760,no range specified,Pirin Mountain  Bulgaria
Pedra do Sino,2670,8760,no range specified,Serra dos Órgãos  Rio de Janeiro  Brazil
Guadalupe Peak,2667,8750,no range specified,Guadalupe Mountains  Texas
Gjeravica,2656,8714,no range specified,Accursed Mountains  Kosovo
Großer Krottenkopf,2656,8714,no range specified,Allgäu Alps  Tyrol  Austria
Pic del Port Vell,2655,8711,no range specified,Pyrenees  Andorra
Gerlachov Peak,2655,8711,no range specified,High Tatras  Slovakia
Mount Michelson,2652,8701,no range specified,Chugach Mountains  Alaska  US
Torre Cerredo,2650,8694,no range specified,Picos de Europa  Spain
Mount St. Piran,2649,8691,no range specified,Bow Range  Alberta  Canada
Mount Meager,2645,8678,no range specified,British Columbia  Canada
Mount Trus Madi,2642,8668,no range specified,Trus Madi Range  Sabah  Malaysia
Meesapulimala,2640,8661,no range specified,Tamil Nadu
Doddabetta,2637,8652,no range specified,Tamil Nadu  India
Piton de la Fournaise,2631,8632,no range specified,Réunion
Mount Crean,2630,8629,no range specified,Victoria Land
Naina Peak (China Peak),2619,8593,no range specified,India  Uttarakhand
Cardinal Peak,2618,8589,no range specified,Washington  US
Peña Vieja,2617,8586,no range specified,Picos de Europa  Cantabria  Spain
Barbeau Peak,2616,8583,no range specified,Nunavut  Canada
Pelister Peak,2601,8533,no range specified,North Macedonia
Mount Abao,2596,8517,no range specified,Philippines
Pico Almanzor,2592,8504,no range specified,Spain
Mount Currie,2591,8501,no range specified,BC  Canada
Pizzo Molare,2585,8481,no range specified,Ticino  Switzerland
Mount Tavkvetili,2583,8474,no range specified,Georgia
Mount Tambuyukon,2579,8461,no range specified,Sabah  Malaysia
Argonaut Peak,2576,8451,no range specified,Washington  US
Doi Inthanon,2565,8415,no range specified,Thailand
Cooke's Peak/Cook's Peak,2563,8409,no range specified,New Mexico  US
Pic dels Aspres,2562,8406,no range specified,Pyrenees  Andorra
Ledyanaya,2562,8406,no range specified,Russia
Aguja Saint Exupery,2558,8392,no range specified,Argentina
Mount St. Helens,2550,8366,no range specified,Washington  US
Big Hatchet Peak,2547,8356,no range specified,New Mexico  US
Moldoveanu Peak,2544,8346,no range specified,Romania
Mount Vineuo,2536,8320,no range specified,Papua New Guinea
Negoiu Peak,2535,8317,no range specified,Romania
Vistea Mare,2527,8291,no range specified,Romania
Pidurutalagala,2524,8281,no range specified,Sri Lanka
Mount Norquay,2522,8274,no range specified,Canadian Rockies  Canada
Hualalai,2521,8271,no range specified,Hawaii  US
Mount Yesenin,2520,8268,no range specified,Antarctica
Parangu Mare,2519,8264,no range specified,Romania
Mount Taranaki/Egmont,2518,8261,no range specified,New Zealand
Garfield Peak,2512,8241,no range specified,Wyoming  US
Mount Joern,2510,8235,no range specified,Antarctica
Mount Veniaminof,2507,8225,no range specified,Alaska  US
Omu Peak,2505,8219,no range specified,Romania
Rysy,2503,8212,no range specified,Tatras  Poland
Mount,2497,8192,no range specified,Pindus  Greece
Monte Velino,2487,8159,no range specified,Abruzzo
Monte Vettore,2476,8123,no range specified,Abruzzo
Špik,2472,8110,no range specified,Julian Alps  Slovenia
Luna Peak,2470,8104,no range specified,British Columbia  Canada
Galdhøpiggen,2469,8100,no range specified,Norway
Kanlaon,2465,8087,no range specified,Negros Occidental
Glittertind,2464,8084,no range specified,Norway
El Capitan,2464,8084,no range specified,Texas  US
Shimbiris,2464,8084,no range specified,Somalia
Mayon,2463,8081,no range specified,Albay 
Monte Gorzano,2458,8064,no range specified,Abruzzo
Mount Psiloritis,2456,8058,no range specified,Crete 
Mount Pachnes (Lefka Ori),2453,8048,no range specified,Crete 
Sulphur Mountain,2451,8041,no range specified,Canadian Rockies  Canada
Sunset Crater,2451,8041,no range specified,Arizona  US
Cima del Redentore (Sibillini Mountains),2448,8031,no range specified,Marche
Faraya Mzaar,2444,8018,no range specified,Keserwan  Lebanon
Triple Divide Peak,2444,8018,no range specified,Montana  US
Blackcomb Peak,2436,7992,no range specified,Whistler BC  Canada
Monte Binga,2436,7992,no range specified,Manica  Mozambique
Mount Olympus,2432,7979,no range specified,Washington  US
Peñalara,2430,7972,no range specified,Spain
Mesa de los Tres Reyes,2428,7966,no range specified,Navarre  Spain
Mount Daniel,2426,7959,no range specified,Washington  US
Mount Murud,2423,7949,no range specified,Kelabit Highlands  Sarawak  Malaysia
Mocho,2422,7946,no range specified,Los Ríos Region  Chile
Choshuenco,2415,7923,no range specified,Los Ríos Region  Chile
Ivis Peak,2414,7920,no range specified,Los Ríos Region  Chile
Ha Ling Peak,2408,7900,no range specified,Canadian Rockies  Alberta  Canada
Store Skagastølstind,2405,7890,no range specified,Norway
Hajla,2403,7884,no range specified,Kosovo
Le Tabor,2389,7838,no range specified,Dauphine Alps  France
Kirigalpottha,2388,7835,no range specified,Sri Lanka
Maglić,2386,7828,no range specified,Bosnia and Herzegovina
Emory Peak,2385,7825,no range specified,Texas  US
Mount Cayley,2385,7825,no range specified,British Columbia  Canada
Mount Galwey,2377,7799,no range specified,Canadian Rockies  Canada
Botev Peak,2376,7795,no range specified,Balkan Mountain  Bulgaria
Mount Mulu,2376,7795,no range specified,Gunung Mulu National Park  Sarawak  Malaysia
Mount Deception,2374,7789,no range specified,Washington  US
Mount Aix,2367,7766,no range specified,Washington  US
Mount Karthala,2361,7746,no range specified,Comoros  Indian Ocean
Totapala Kanda,2357,7733,no range specified,Sri Lanka
Signal Mountain,2353,7720,no range specified,Wyoming  US
Mount Pico,2351,7713,no range specified,Azores  Portugal
Grimming,2351,7713,no range specified,Styria  Austria
Monte Sirente,2347,7700,no range specified,Abruzzo
Mount Blum,2340,7677,no range specified,North Cascades
Mount Popomanaseu,2335,7661,no range specified,Guadalcanal  Solomon Islands
Monte Priora,2333,7654,no range specified,Marche
Mount Prophet,2330,7644,no range specified,North Cascades
Mount Griggs,2317,7602,no range specified,Alaska  US
Mount Makarakomburu,2310,7579,no range specified,Guadalcanal  Solomon Islands
Lalla Khedidja,2308,7572,no range specified,Djurdjura Mountains  Algeria
Lavender Peak,2306,7566,no range specified,British Columbia  Canada
Pietrosul Rodnei Peak,2303,7556,no range specified,Rodnei Mountains  Romanian Carpathian Mountains  Romania
Mount Sir Allan MacNab,2297,7536,no range specified,Premier Range  British Columbia  Canada
Murree,2291,7516,no range specified,Rawalpindi  Pakistan
Kozi Wierch,2291,7516,no range specified,Tatras  Poland
Cherni Vrah,2290,7513,no range specified,Vitosha Mountain  Bulgaria
Druesberg,2282,7487,no range specified,Alps  Switzerland
Ineu Peak,2279,7477,no range specified,Rodnei Mountains  Romanian Carpathian Mountains  Romania
Mount Huye,2278,7474,no range specified,Rwanda
Bikku Bitti,2267,7438,no range specified,Libya
Blue Mountains,2256,7402,no range specified,Jamaica
Mount Dietz,2250,7382,no range specified,Antarctica
Sri Pada Mountain,2243,7359,no range specified,Sri Lanka
Mount John Laurie,2240,7349,no range specified,Canadian Rockies  Alberta  Canada
Red Butte,2232,7323,no range specified,Arizona  US
Čvrsnica,2228,7310,no range specified,Herzegovina  BiH
Mount Kosciuszko,2228,7310,no range specified,Snowy Mountains  New South Wales  Australia
Camoghe,2228,7310,no range specified,Ticino  Switzerland
Commonwealth Mountain,2225,7300,no range specified,Nunavut  Canada
Mount Chiginagak,2221,7287,no range specified,Alaska  US
Monte Terminillo,2217,7274,no range specified,Lazio
Slavyanka,2212,7257,no range specified,Pirin Mountain  Bulgaria
Mount Oxford (Nunavut),2210,7251,no range specified,Nunavut  Canada
Mount Townsend,2209,7247,no range specified,Snowy Mountains  New South Wales  Australia
Black Elk Peak,2207,7241,no range specified,South Dakota  US
Golden Hinde,2198,7211,no range specified,#1 on Vancouver Island  British Columbia  Canada
Mount Twynam,2196,7205,no range specified,Snowy Mountains  New South Wales  Australia
Elkhorn Mountain,2195,7201,no range specified,Vancouver Island  British Columbia  Canada
Mount Baldy,2192,7192,no range specified,Alberta  Canada
Golyam Perelik,2191,7188,no range specified,Rhodope Mountain  Bulgaria
Shiprock,2188,7178,no range specified,New Mexico  US
Mount Tahan,2187,7175,no range specified,Tahan Range  Pahang  Malaysia
Mount Korbu,2183,7162,no range specified,Titiwangsa Mountains  Perak  Malaysia
Mount Yong Belar,2180,7152,no range specified,Perak  Malaysia
Doi Chiang Dao,2175,7136,no range specified,Thailand
Galunggung,2168,7113,no range specified,Java
Levski Peak,2166,7106,no range specified,Balkan Mountain  Bulgaria
Monte Cimone,2165,7103,no range specified,Emilia-Romagna
Mount Hua,2155,7070,no range specified,Shaanxi  China
Mount Ugo,2150,7054,no range specified,Cordillera Range  Benguet  Philippines
Mount Zulia,2149,7051,no range specified,Uganda
Carruthers Peak,2145,7037,no range specified,Snowy Mountains  New South Wales  Australia
Crna Glava,2139,7018,no range specified,Bjelasica  Crna Gora
Mount Colonel Foster,2135,7005,no range specified,Vancouver Island  British Columbia  Canada
Roche à Perdrix,2135,7005,no range specified,Fiddle Range  Canadian Rockies  Canada
Kodaikanal,2133,6998,no range specified,Tamil Nadu  India
Pilatus,2132,6995,no range specified,Switzerland
Strmenica,2122,6962,no range specified,Bjelasica  Crna Gora
Phu Soi Dao,2120,6955,no range specified,Thailand
Eagle Peak,2119,6952,no range specified,Alaska  US
Zekova Glava,2117,6946,no range specified,Bjelasica  Crna Gora
Öræfajökull,2110,6923,no range specified,Iceland
Mount Benum,2107,6913,no range specified,Malaysia
Mogotón,2107,6913,no range specified,Nicaragua
Kebnekaise,2106,6909,no range specified,Sweden
Rambler Peak,2092,6864,no range specified,Vancouver Island  British Columbia  Canada
Mount McBride,2083,6834,no range specified,Vancouver Island  British Columbia  Canada
Pico do Selado,2082,6831,no range specified,Monte Verde  Minas Gerais  Brazil
Phou Khe,2079,6821,no range specified,Thailand
Schneeberg,2076,6811,no range specified,Northern Limestone Alps  Austria
Mount Tate,2068,6785,no range specified,Snowy Mountains  New South Wales  Australia
Bjelašnica,2067,6781,no range specified,Sarajevo Canton  Bosnia and Herzegovina
Kings Peak,2065,6775,no range specified,Vancouver Island  British Columbia  Canada
Hoverla,2061,6762,no range specified,Ukraine
Monte Miletto,2050,6726,no range specified,Molise
Lytton Mountain,2049,6722,no range specified,British Columbia  Canada
Mount Katmai,2047,6716,no range specified,Alaska  US
Mount Dimlang,2042,6699,no range specified,Adamawa  Nigeria
Mount Celeste,2041,6696,no range specified,Vancouver Island  British Columbia  Canada
Mount Mitchell,2037,6683,no range specified,Yancey County  North Carolina  US - the highest peak of the Appalachian Mountains and the highest peak in mainland eastern North America
Namunukula,2035,6677,no range specified,Sri Lanka
Pico do Barbado,2033,6670,no range specified,Bahia  Brazil
Mount Batu Brinchang,2032,6667,no range specified,Cameron Highlands  Pahang
Doi Mae Tho,2031,6663,no range specified,Thailand
Clingmans Dome,2025,6644,no range specified,Great Smoky Mountains  Tennessee  US
Mount Heng (Shanxi),2017,6617,no range specified,Shanxi  China
Kopaonik,2017,6617,no range specified,Pančić's Peak  Serbia
Alpe di Succiso,2017,6617,no range specified,Province of Reggio Emilia
Kom,2016,6614,no range specified,Balkan Mountain  Bulgaria
Polar Bear Peak,2016,6614,no range specified,Chugach Mountains  Alaska  US
Mount Asgard,2015,6611,no range specified,Baffin Mountains  Nunavut  Canada
Mount Le Conte,2010,6594,no range specified,Great Smoky Mountains  Tennessee  US
Serra da Estrela,1993,6539,no range specified,Portugal
Mount Bogong,1986,6516,no range specified,Australia
Mount Ishizuchi,1982,6503,no range specified,Japan
Doi Phu Kha,1980,6496,no range specified,Luang Prabang Range  Thailand
Pizzo Carbonara,1979,6493,no range specified,Province of Palermo
Topo de Coroa,1979,6493,no range specified,Cape Verde
Mount Tongariro,1978,6490,no range specified,New Zealand
Iceberg Peak,1977,6486,no range specified,Vancouver Island  British Columbia  Canada
Pico Turquino,1975,6480,no range specified,Cuba
El Piveto Mountain,1969,6460,no range specified,Vancouver Island  British Columbia  Canada
Qiajivik Mountain,1963,6440,no range specified,Baffin Island  Nunavut  Canada
Monte Tamaro,1962,6437,no range specified,Ticino  Switzerland
Farcau Peak,1956,6417,no range specified,Romania
Montalto (Aspromonte),1955,6414,no range specified,Calabria
Ciucas Peak,1954,6411,no range specified,Romania
Chionistra,1952,6404,no range specified,Cyprus
Hallasan,1950,6398,no range specified,Jejudo  South Korea
Jabal Bil Ays,1934,6345,no range specified,Oman
Mullayanagiri,1930,6332,no range specified,Chikmagalur  Karnataka  India
Helvetia Tinde,1929,6329,no range specified,Roosevelt Range
Botte Donato,1928,6325,no range specified,Sila Mountains  Calabria  Italy
Mount Kirigamine,1925,6316,no range specified,Japan
Mount Washington,1917,6289,no range specified,Presidential Range 
Mount Siku,1915,6283,no range specified,Pahang  Malaysia
Mount Jiri,1915,6283,no range specified,South Korea
Troglav,1913,6276,no range specified,Highest peak of mountain
Mont Ventoux,1909,6263,no range specified,France
Ocolasu Mare,1907,6257,no range specified,Romania
Mount Toaca,1900,6234,no range specified,Romania
Vesper Peak,1896,6220,no range specified,Washington  US
Baba Budangiri,1895,6217,no range specified,Chikmagalur  Karnataka  India
Mount Narodnaya,1895,6217,no range specified,Subpolar
Kudremukh,1894,6214,no range specified,Chikmagalur  Karnataka  India
Orjen,1894,6214,no range specified,Montenegro  Bosnia and Herzegovina
Iskhodnaya,1887,6191,no range specified,Russia
Mount George V,1883,6178,no range specified,Vancouver Island  British Columbia  Canada
Rugged Mountain,1875,6152,no range specified,Vancouver Island  British Columbia  Canada
Agastya Mala,1868,6129,no range specified,Tamil Nadu
Trident Volcano,1864,6115,no range specified,Alaska  US
Mount Martin,1863,6112,no range specified,Alaska  US
Knuckles,1862,6109,no range specified,Sri Lanka
Pico Ruivo,1861,6106,no range specified,Madeira  Portugal
Budacu,1859,6099,no range specified,Romania
Giumalau,1856,6089,no range specified,Romania
Pico das Torres,1853,6079,no range specified,Madeira  Portugal
Mont Ross,1850,6070,no range specified,Gallieni Massif  Kerguelen Islands
Cucurbata Mare,1849,6066,no range specified,Romania
Monte Soro,1847,6060,no range specified,Province of Messina
Mount Ulap,1846,6056,no range specified,Itogon  Benguet  Philippines
Crown Mountain,1846,6056,no range specified,Vancouver Island  British Columbia  Canada
Tibles,1839,6033,no range specified,Romania
Loser,1838,6030,no range specified,Austria
Vladeasa,1836,6024,no range specified,Romania
Punta La Marmora,1834,6017,no range specified,Sardinia
Sinjal,1831,6007,no range specified,Mountain
Cerro La Campana,1828,5997,no range specified,Olmue  Chile
Gora Nevskaya,1828,5997,no range specified,Magadan Oblast  Russia
Muntele Mare,1826,5991,no range specified,Romania
Cerro de la Silla,1820,5971,no range specified,Mexico
Pico do Arieiro,1818,5965,no range specified,Madeira  Portugal
Biligiriranga Hills,1800,5906,no range specified,Chamarajanagar  Karnataka  India
Monte Maggiorasca,1799,5902,no range specified,liguria
Rigi,1797,5896,no range specified,Swiss Alps
Hășmașu Mare,1792,5879,no range specified,Romania
Pietrosu Peak,1791,5876,no range specified,Romania
Goru,1784,5853,no range specified,Romania
Blokhin Peak,1779,5837,no range specified,Chukotka 
Velliangiri Mountains,1778,5833,no range specified,Coimbatore  Tamil Nadu  India
Lacaut,1777,5830,no range specified,Romania
Saca Peak,1776,5827,no range specified,Romania
Penteleu,1772,5814,no range specified,Romania
Mount Veve,1768,5801,no range specified,Kolombangara  Solomon Islands
Mount Adams,1766,5794,no range specified,New Hampshire  US
Monte Gariglione,1764,5787,no range specified,Sila Mountains  Calabria  Italy
Sveti Jure (Saint George),1762,5781,no range specified,Mountain
Pik Sovetskoy Gvardii,1759,5771,no range specified,Chukotka 
Vaganski vrh,1757,5764,no range specified,Mountain
Mount Api,1750,5741,no range specified,Gunung Mulu National Park  Sarawak  Malaysia
Lovćen,1749,5738,no range specified,Montenegro
Tadiandamol,1748,5735,no range specified,Kodagu  Karnataka  India
Mount Rogers,1746,5728,no range specified,Virginia  US
Doi Phi Pan Nam,1745,5725,no range specified,Luang Prabang Range  Thailand
Mount Wilson,1742,5715,no range specified,California  US
Mount Jefferson,1741,5712,no range specified,New Hampshire  US
Monte Amiata,1738,5702,no range specified,Province of Grosseto
Daisen,1729,5673,no range specified,Japan
The Horn (Mount Buffalo),1723,5653,no range specified,Victoria  Australia
Mount Batur,1717,5633,no range specified,Bali  Indonesia
Kumara Parvata,1712,5617,no range specified,Dakshina Kannada  Karnataka  India
Pushpagiri,1712,5617,no range specified,Pushpagiri Wildlife Sanctuary  Karnataka  India
Mount Lowe,1707,5600,no range specified,San Gabriel Mountains  California  US
Boulder Peak,1707,5600,no range specified,Olympic Mountains  Washington  US
Doi Luang,1694,5558,no range specified,Thailand
Mitre Peak,1692,5551,no range specified,New Zealand
Arma Konda,1680,5512,no range specified,India
Deomali,1672,5486,no range specified,India
Mount Caubvik,1652,5420,no range specified,Torngat Mountains  Canada
Kalsubai,1646,5400,no range specified,India
Rarau,1650,5413,no range specified,Romania
Peak 5390,1643,5390,no range specified,Alaska  US
Yamantau,1640,5381,no range specified,Southern Urals  Russia
Mount Monroe,1637,5371,no range specified,New Hampshire  US
Mount Madison,1636,5367,no range specified,New Hampshire  US
Mount Krebs,1630,5348,no range specified,Antarctica
Mount Marcy,1629,5344,no range specified,New York  US
Trebević,1627,5338,no range specified,Bosnia and Herzegovina
Mount Bartle Frere,1622,5322,no range specified,Queensland  Australia
Rocca Busambra,1613,5292,no range specified,Province of Palermo
Velky Rozsutec,1610,5282,no range specified,Mala Fatra  Slovakia
Brahmagiri,1608,5276,no range specified,Kodagu  Karnataka  India
Mount Katahdin,1606,5269,no range specified,Maine  US
Sněžka,1602,5256,no range specified,Krkonoše  Czech Republic
Sirumalai,1600,5249,no range specified,Tamil Nadu India
Mount Lafayette,1600,5249,no range specified,New Hampshire  US
Mount Washington (British Columbia),1590,5217,no range specified,Vancouver Island  British Columbia  Canada
Mount Benarat,1585,5200,no range specified,Gunung Mulu National Park  Sarawak  Malaysia
Wai'ale'ale,1569,5148,no range specified,Kauai  Hawaii  US
Salher,1567,5141,no range specified,Maharashtra  India
Cirque Mountain,1567,5141,no range specified,Labrador  Canada
Algonquin Peak,1559,5115,no range specified,New York  US
Mount Lincoln,1551,5089,no range specified,New Hampshire  US
Superstition Mountain,1542,5059,no range specified,Arizona  US
Mount Tai,1532,5026,no range specified,Shandong  China
Jabel Yibir,1527,5010,no range specified,United Arab Emirates
Madikeri,1525,5003,no range specified,Kodagu  Karnataka  India
Mount Popa,1518,4980,no range specified,Myanmar
Askja,1516,4974,no range specified,Iceland
Monte Boglia,1516,4974,no range specified,Ticino  Switzerland
Kamakau,1512,4961,no range specified,Molokai  Hawaii  US
Song Shan,1512,4961,no range specified,Henan  China
Pico de Malpaso,1501,4925,no range specified,Canary Islands  Spain
Javaleon,1494,4902,no range specified,Spain
Mount Nuang,1491,4892,no range specified,Titiwangsa Mountains  Malaysia
Hekla,1491,4892,no range specified,Iceland
Mount Pinatubo,1486,4875,no range specified,Luzon  Philippines
Spruce Knob,1482,4862,no range specified,West Virginia  US
Lyaskovets Peak,1473,4833,no range specified,Antarctica
Mount Olympus,1471,4826,no range specified,Tasmania  Australia
Agriolefkes,1471,4826,no range specified,Pelion  Greece
La Grande Soufrière,1467,4813,no range specified,Guadeloupe  France
Monte Penice,1460,4790,no range specified,Lombardy
Mount Seymour,1455,4774,no range specified,British Columbia  Canada
Himavad Gopalaswamy Betta,1450,4757,no range specified,Chamarajanagar  Karnataka  India
Snæfellsjökull,1446,4744,no range specified,Iceland
Gutai Peak,1443,4734,no range specified,Romania
Mount Kalourat,1435,4708,no range specified,Malaita  Solomon Islands
Mount Woodroffe,1435,4708,no range specified,South Australia
Cypress Mountain,1432,4698,no range specified,British Columbia  Canada
Taramati,1431,4695,no range specified,Maharashtra  India
Harishchandragad,1427,4682,no range specified,Maharashtra  India
Tukgahgo Mountain,1425,4675,no range specified,Alaska  US
Raireshwar,1398,4587,no range specified,Maharashtra  India
Taburno Camposauro,1393,4570,no range specified,Campania
Parasnath,1366,4482,no range specified,India
Dhupgarh,1350,4429,no range specified,India
Ben Nevis,1345,4413,no range specified,Scotland  United Kingdom
